,team,team_code,association,rank,previous_rank,points,previous_points,country
0,Brazil,BRA,CONMEBOL,1,1,1841.3,1837.56,Brazil
1,Belgium,BEL,UEFA,2,2,1816.71,1821.92,Belgium
2,Argentina,ARG,CONMEBOL,3,3,1773.88,1770.65,Argentina
3,France,FRA,UEFA,4,4,1759.78,1764.85,France
4,England,ENG,UEFA,5,5,1728.47,1737.46,United Kingdom
6,Spain,ESP,UEFA,7,6,1715.22,1716.93,Spain
7,Netherlands,NED,UEFA,8,8,1694.51,1679.41,Netherlands
8,Portugal,POR,UEFA,9,9,1676.56,1678.65,Portugal
9,Denmark,DEN,UEFA,10,10,1666.57,1665.47,Denmark
10,Germany,GER,UEFA,11,11,1650.21,1658.96,Germany
11,Croatia,CRO,UEFA,12,15,1645.64,1632.15,Croatia
12,Mexico,MEX,CONCACAF,13,12,1644.89,1649.57,Mexico
13,Uruguay,URU,CONMEBOL,14,13,1638.71,1640.95,Uruguay
14,Switzerland,SUI,UEFA,15,16,1635.92,1621.43,Switzerland
15,USA,USA,CONCACAF,16,14,1627.48,1635.01,United States of America
17,Senegal,SEN,CAF,18,18,1584.38,1584.59,Senegal
18,Wales,WAL,UEFA,19,19,1569.82,1582.13,Wales
19,IR Iran,IRN,AFC,20,22,1564.61,1558.64,Iran
20,Serbia,SRB,UEFA,21,25,1563.62,1549.53,Republic of Serbia
21,Morocco,MAR,CAF,22,23,1563.5,1558.35,Morocco
23,Japan,JPN,AFC,24,24,1559.54,1554.69,Japan
25,Poland,POL,UEFA,26,26,1548.59,1546.18,Poland
27,Korea Republic,KOR,AFC,28,28,1530.3,1526.02,South Korea
29,Tunisia,TUN,CAF,30,30,1507.54,1507.86,Tunisia
30,Costa Rica,CRC,CONCACAF,31,34,1503.59,1500.06,Costa Rica
37,Australia,AUS,AFC,38,39,1488.72,1483.73,Australia
40,Canada,CAN,CONCACAF,41,43,1475.0,1473.82,Canada
42,Cameroon,CMR,CAF,43,38,1471.44,1484.95,Cameroon
43,Ecuador,ECU,CONMEBOL,44,44,1464.39,1463.74,Ecuador
49,Qatar,QAT,AFC,50,48,1439.89,1441.97,Qatar
50,Saudi Arabia,KSA,AFC,51,53,1437.78,1435.74,Saudi Arabia
60,Ghana,GHA,CAF,61,60,1393.0,1393.47,Ghana
